query,index,word_count,tag,can't read,topic button
science,1177,1,,,1
V0030945,1178,1,,,
sociology,1179,1,,,
botany,1180,1,,,1
arctic,1181,1,,,
Anatomy,1182,1,,,
ramnagar,1183,1,,,
Corbould,1184,1,,,
Butterflies ,1185,1,,,
"""Instruments""",1186,1,1,,
man lying,1187,2,,,
harry styles,1188,2,,,
libra,1189,1,,,
coffee,1190,1,,,
"""KING CHOLERA""",1192,2,1,,
Bee,1193,1,,,
junji ito,1194,2,,,
anatomy,1195,1,,,
Flower,1196,1,,,
doctors houses,1197,2,,,
,1198,0,,1,
anatomy,1199,1,,,
health,1200,1,,,1
chinese,1201,1,,,
astro,1202,1,,,
spain,1203,1,,,
anatomy,1204,1,,,
